sehir,oda_sayisi,salon_sayisi,ev_yasi,fiyat
bursa,1,1,6,300000
bursa,2,1,4,400000
bursa,3,1,3,550000
bursa,4,1,5,750000
bursa,5,1,15,650000
bursa,5,2,10,675000
bursa,6,1,2,1000000
bursa,6,2,6,1050000
bursa,7,1,1,1500000
istanbul,1,1,5,700000
istanbul,2,1,7,850000
istanbul,3,1,2,950000
istanbul,4,1,10,1050000
istanbul,4,1,15,1000000
istanbul,5,1,12,1350000
ankara,1,1,3,500000
ankara,1,1,4,475000
ankara,2,1,1,750000
ankara,2,1,7,700000
ankara,3,1,9,875000
ankara,3,1,15,850000
ankara,5,2,20,1000000
